年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,環境政策指数,35.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,外水氾濫,67.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,高潮,45.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,土砂災害,31.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,地震動,44.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,津波,38.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,ハード対策,20.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,避難・救助,58.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,要配慮者支援,34.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,防災教育,42.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,防災まちづくり,39.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり交通事故件数,61.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,人口あたり刑法犯認知件数,58.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,生活環境,空家率,45.8
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたり自殺者数,40.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,拡大家族世帯割合,55.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,既婚者割合,46.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,高齢単身世帯割合,51.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,居住期間が20年以上の人口割合,54.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,祭りの数,45.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,自治会・町内会加入率,50.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたり政治団体等の数,51.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたり宗教の事業所数,39.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたりNPOの数,45.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,関係人口創出活動指数,45.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,議会の女性議員割合,38.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,自治体における管理職の女性割合,50.2
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,自治体職員における障害者の割合,29.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,人口あたり外国人人口,40.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,地域の人間関係,多様性政策指数,42.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,首長選挙の投票率,78.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,健康寿命（男性）,42.3
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,健康寿命（女性）,49.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,芸術家・著述家等割合,
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,国宝・重要文化財（建造物）数,47.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,日本遺産数,44.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,大卒・院卒者の割合,33.7
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,可住地面積あたり大学・短期大学数,46.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,可住地面積あたり私立・国立中高一貫校数,47.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,人口あたり生涯学習講座数,41.4
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,人口あたり生涯学習講座受講者数,44.9
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,人口あたり青少年教育施設利用者数,53.6
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,人口あたり女性教育施設利用者数,46.1
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,完全失業率,21.0
2023年度版(令和5年度版),全国調査,"沖縄県 南城市",客観データ,自分らしい生き方,若年層完全失業率,20.0
