年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,職場までの平均通勤時間,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり娯楽業事業所数,45.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,保育所への距離1kmの住宅割合,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,可住地面積あたり幼稚園数,40.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,一施設当たり幼稚園児数,51.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり待機児童数,51.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,歳出総額の教育費割合,45.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,合計特殊出生率,53.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,可住地面積あたり小学校数,39.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,可住地面積あたり中学校数,42.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,可住地面積あたり高等学校数,43.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,一施設当たり小学生数,34.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,一施設当たり中学生数,57.4
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,一施設当たり高校生数,
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり体育施設利用者数,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり図書館帯出者数,62.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり博物館入館者数,80.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,財政指数,46.9
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,自治体DX指数,22.3
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,デジタル政策指数,30.8
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,デジタル生活指数,39.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,公園緑地徒歩圏人口カバー率,20.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,人口あたり公園面積,70.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,歩道設置率,56.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,ウォーカブル指数,38.1
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,都市景観指数,46.2
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,自然景観指数,41.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,食料供給ポテンシャル,66.6
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,水供給ポテンシャル,48.0
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,木材供給ポテンシャル,43.5
2023年度版(令和5年度版),全国調査,"長野県 小布施町",客観データ,生活環境,炭素吸収量,43.6
