年度,調査種別,地域,データ種別,因子群,カテゴリ・評価指標,偏差値
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,ハード対策,46.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,避難・救助,43.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,要配慮者支援,42.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,防災教育,61.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,防災まちづくり,52.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,情報・デジタル防災,46.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり交通事故件数,49.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,人口あたり刑法犯認知件数,64.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,生活環境,空家率,35.9
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたり自殺者数,22.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,拡大家族世帯割合,80.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,既婚者割合,63.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,高齢単身世帯割合,42.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,居住期間が20年以上の人口割合,69.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,祭りの数,44.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,自治会・町内会加入率,
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたり政治団体等の数,49.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたり宗教の事業所数,66.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたりNPOの数,48.2
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたり都市再生推進法人・UDC数,47.5
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,関係人口創出活動指数,49.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,議会の女性議員割合,41.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,自治体における管理職の女性割合,54.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,自治体職員における障害者の割合,61.4
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,人口あたり外国人人口,40.3
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,地域の人間関係,多様性政策指数,42.6
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,首長選挙の投票率,77.8
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,市区町村議会選挙の投票率,80.0
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,健康寿命（男性）,49.7
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,健康寿命（女性）,63.1
2023年度版(令和5年度版),全国調査,"佐賀県 嬉野市",客観データ,自分らしい生き方,芸術家・著述家等割合,
